Date,Type,Name,Start,End,Duration
31/03/17,place,Place in Ebeltoft,2017-03-31T12:35:10+02:00,2017-03-31T13:03:05+02:00,1675
31/03/17,place,Place in Ebeltoft,2017-03-31T13:03:06+02:00,2017-03-31T18:30:52+02:00,19666
31/03/17,place,Place in Ebeltoft,2017-03-31T18:30:53+02:00,2017-04-01T00:00:00+02:00,19747
01/04/17,place,Place in Ebeltoft,2017-04-01T00:00:00+02:00,2017-04-01T15:27:14+02:00,55634
01/04/17,move,walking,2017-04-01T15:27:14+02:00,2017-04-01T15:30:18+02:00,184
01/04/17,place,Place in Ebeltoft,2017-04-01T15:30:19+02:00,2017-04-01T15:36:22+02:00,363
01/04/17,move,walking,2017-04-01T15:36:22+02:00,2017-04-01T16:00:22+02:00,1440
01/04/17,place,Place in Ebeltoft,2017-04-01T16:00:23+02:00,2017-04-01T16:22:43+02:00,1340
01/04/17,place,Place in Ebeltoft,2017-04-01T16:22:44+02:00,2017-04-01T16:45:14+02:00,1350
01/04/17,move,walking,2017-04-01T16:45:14+02:00,2017-04-01T16:58:20+02:00,786
01/04/17,place,Place in Ebeltoft,2017-04-01T16:58:20+02:00,2017-04-01T17:13:50+02:00,930
01/04/17,move,running,2017-04-01T17:13:50+02:00,2017-04-01T17:24:11+02:00,621
01/04/17,place,Place in Ebeltoft,2017-04-01T17:24:12+02:00,2017-04-01T17:26:16+02:00,124
01/04/17,move,running,2017-04-01T17:26:16+02:00,2017-04-01T17:58:27+02:00,1931
01/04/17,place,Place in Ebeltoft,2017-04-01T17:58:28+02:00,2017-04-01T19:12:06+02:00,4418
01/04/17,place,Place in Ebeltoft,2017-04-01T19:12:07+02:00,2017-04-01T19:31:10+02:00,1143
01/04/17,place,Place in Ebeltoft,2017-04-01T19:31:11+02:00,2017-04-01T20:22:02+02:00,3051
01/04/17,move,walking,2017-04-01T20:22:02+02:00,2017-04-01T20:24:23+02:00,141
01/04/17,place,Place in Ebeltoft,2017-04-01T20:24:23+02:00,2017-04-02T00:00:00+02:00,12937
02/04/17,place,Place in Ebeltoft,2017-04-02T00:00:00+02:00,2017-04-02T10:01:38+02:00,36098
